calls,feature,spearman,p_value
8,k8_trans_delta_gripper_mean,0.1464625493966825,0.18370963395957174
8,k8_trans_delta_joint_abs_step_d5,-0.14000237778524607,0.2040195492455583
8,k8_prefix_joint_delta_max,-0.13309572897344146,0.22745419596575192
8,k8_flow_delta_l2,-0.13224663359319633,0.23046016818486006
8,k8_gripper_start,0.13119957072163124,0.23420500944250888
8,k8_flow_norm,-0.12817657183355272,0.24525354199123842
8,k8_flow_relative_l2,-0.12718436772299282,0.24895685648173993
8,k8_flow_cosine,0.12623266173939457,0.2525449041114999
8,k8_prefix_joint_delta_mean,-0.12619216361243293,0.2526983676177743
8,k8_trans_delta_joint_jerk_max,-0.1188519606314205,0.28157121477482255
8,k8_gripper_mean,0.11705267424713132,0.2889713128524708
8,k8_gripper_end,0.112712486810122,0.30734656650760245
8,k8_joint_abs_step_d4,-0.10401943910094158,0.346383857753372
8,k8_joint_step_max,-0.10059734737268401,0.3625655060042937
8,k8_trans_has_previous,0.09821623517863819,0.37409431107647195
8,k8_gripper_high_fraction,0.09755166492134704,0.37735130933300154
8,k8_trans_delta_joint_abs_step_d1,-0.09603871106473426,0.38482988550664865
8,k8_joint_path,-0.09067530626708514,0.4120495270861827
8,k8_joint_step_mean,-0.09067530626708514,0.4120495270861827
8,k8_trans_delta_joint_endpoint,-0.09058380961278885,0.41252338928258436
8,k8_trans_delta_joint_accel_max,-0.08713647412271182,0.430607025701221
8,k8_trans_delta_joint_roughness,0.08024180314255774,0.4680963424610739
8,k8_joint_abs_step_d6,-0.07864736255948161,0.4770117457043598
8,k8_joint_abs_step_d0,-0.0781613850359421,0.4797471453135752
8,k8_trans_delta_joint_step_max,-0.0767133538762436,0.48794716659234716
8,k8_trans_delta_joint_abs_step_d6,-0.07500996457526436,0.4976874439991217
8,k8_trans_endpoint_direction_change,-0.07464495258219739,0.49978778338802154
8,k8_trans_delta_joint_abs_step_d3,-0.07448272502972317,0.5007227476887732
8,k8_joint_direction_change,0.06755087577199555,0.5415072837656068
8,k8_joint_accel_max,-0.06542472410651008,0.5543349747484936
8,k8_trans_delta_gripper_end,0.05976155659393284,0.5891972283222275
8,k8_joint_endpoint,-0.05718335526981878,0.6053905647139126
8,k8_joint_abs_step_d2,-0.047727042624278626,0.6663832488530759
8,k8_gripper_step_max,-0.0452869996436398,0.682500801026175
8,k8_joint_roughness,0.04509466437177281,0.6837774418372212
8,k8_prefix_gripper_delta_max,-0.04291400182878349,0.698313095368054
8,k8_prefix_gripper_delta_mean,0.04009276443535445,0.7172803016723488
8,k8_joint_jerk_max,-0.03825048091525767,0.7297598561255809
8,k8_trans_joint_boundary,0.038062639499262294,0.7310363062677316
8,k8_trans_gripper_boundary,0.032599340085120686,0.7684680914987378
8,k8_gripper_range,0.01587374177697529,0.8860419460479438
8,k8_joint_abs_step_d1,-0.014214842563531437,0.8978834489666161
8,k8_joint_abs_step_d3,0.012999898754682595,0.9065702559549764
8,k8_trans_delta_joint_abs_step_d0,0.012755141313285019,0.9083216253686366
8,k8_gripper_endpoint,-0.004884923053480774,0.9648243186980328
8,k8_gripper_tv,0.004617604690109401,0.9667481167401696
8,k8_trans_delta_joint_abs_step_d2,0.0036298414866105222,0.9738582701916169
