feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
gripper_start,release,38,0.9775686834685355,0.6915986487345662,1.0,0.5672231590435785,4.0106269855015585e-32
gripper_end,free_open,87,0.0,0.0,0.0,0.6183407134100118,1.8612741158435104e-39
gripper_end,pre_close,43,0.0,0.0,0.3550108867428946,0.6183407134100118,1.8612741158435104e-39
gripper_end,closing,54,1.0,0.9733202428701632,1.0,0.6183407134100118,1.8612741158435104e-39
gripper_end,hold,139,1.0,0.9729305360507663,1.0,0.6183407134100118,1.8612741158435104e-39
gripper_end,release,38,0.0,0.0,0.002505589175431198,0.6183407134100118,1.8612741158435104e-39
gripper_mean,free_open,87,0.0,0.0,0.0,0.6798905637373152,2.6870593272453006e-50
gripper_mean,pre_close,43,0.0,0.0,0.03934474552202691,0.6798905637373152,2.6870593272453006e-50
gripper_mean,closing,54,0.6164626637652111,0.38534846088678276,0.8718483123964624,0.6798905637373152,2.6870593272453006e-50
gripper_mean,hold,139,1.0,0.9634610126919566,1.0,0.6798905637373152,2.6870593272453006e-50
gripper_mean,release,38,0.5698959857437994,0.20206614737384035,0.6452101476730943,0.6798905637373152,2.6870593272453006e-50
gripper_range,free_open,87,0.0,0.0,0.0,0.4478644006684238,3.2820287645761673e-19
gripper_range,pre_close,43,0.0,0.0,0.35253718605013895,0.4478644006684238,3.2820287645761673e-19
gripper_range,closing,54,0.9752445673486401,0.5833750863369458,1.0,0.4478644006684238,3.2820287645761673e-19
gripper_range,hold,139,0.0,0.0,0.06674450329653042,0.4478644006684238,3.2820287645761673e-19
gripper_range,release,38,0.9701076358522296,0.7279119978553829,0.999724063458505,0.4478644006684238,3.2820287645761673e-19
gripper_tv,free_open,87,0.0,0.0,0.0,0.44923995737369793,2.4797968774543175e-19
gripper_tv,pre_close,43,0.0,0.0,0.3550108867428946,0.44923995737369793,2.4797968774543175e-19
gripper_tv,closing,54,0.9974586847589029,0.6395708329359617,1.0,0.44923995737369793,2.4797968774543175e-19
gripper_tv,hold,139,0.0,0.0,0.13552752472586177,0.44923995737369793,2.4797968774543175e-19
gripper_tv,release,38,0.9933746950003427,0.7462620477580753,1.0,0.44923995737369793,2.4797968774543175e-19
gripper_step_max,free_open,87,0.0,0.0,0.0,0.4491991872107306,2.5005289921410586e-19
gripper_step_max,pre_close,43,0.0,0.0,0.20005403736677788,0.4491991872107306,2.5005289921410586e-19
gripper_step_max,closing,54,0.22202023023074768,0.1279561504819515,0.25942857729573165,0.4491991872107306,2.5005289921410586e-19
gripper_step_max,hold,139,0.0,0.0,0.06378125707211929,0.4491991872107306,2.5005289921410586e-19
gripper_step_max,release,38,0.2588300290640613,0.1281289820166392,0.3339461911474415,0.4491991872107306,2.5005289921410586e-19
gripper_endpoint,free_open,87,0.0,0.0,0.0,0.4229486386858031,4.2452985958918045e-17
gripper_endpoint,pre_close,43,0.0,0.0,0.2652157875798821,0.4229486386858031,4.2452985958918045e-17
gripper_endpoint,closing,54,0.9592602247412112,0.5691288941832244,1.0,0.4229486386858031,4.2452985958918045e-17
gripper_endpoint,hold,139,0.0,0.0,0.008333521672062139,0.4229486386858031,4.2452985958918045e-17
gripper_endpoint,release,38,0.9650355387412388,0.6585016491410144,0.999724063458505,0.4229486386858031,4.2452985958918045e-17
gripper_high_fraction,free_open,87,0.0,0.0,0.0,0.661292559388036,9.457604114001634e-47
gripper_high_fraction,pre_close,43,0.0,0.0,0.0,0.661292559388036,9.457604114001634e-47
gripper_high_fraction,closing,54,0.6041666666666667,0.3854166666666667,0.90625,0.661292559388036,9.457604114001634e-47
gripper_high_fraction,hold,139,1.0,1.0,1.0,0.661292559388036,9.457604114001634e-47
gripper_high_fraction,release,38,0.5625,0.20833333333333334,0.6666666666666666,0.661292559388036,9.457604114001634e-47
trans_endpoint_direction_change,free_open,87,0.3410413327156179,0.0,0.7384099142892074,0.2836995876818266,4.1418986951389243e-08
trans_endpoint_direction_change,pre_close,43,0.2851422585497335,0.1277221954845561,0.5614173589822263,0.2836995876818266,4.1418986951389243e-08
trans_endpoint_direction_change,closing,54,1.0154861847896743,0.2554162333048425,1.656913192760426,0.2836995876818266,4.1418986951389243e-08
trans_endpoint_direction_change,hold,139,0.7963912349855369,0.39160752611043903,1.269967174097675,0.2836995876818266,4.1418986951389243e-08
trans_endpoint_direction_change,release,38,1.0170134834847355,0.6279102782512818,1.6970928175036244,0.2836995876818266,4.1418986951389243e-08
trans_gripper_boundary,free_open,87,0.0,0.0,0.0,0.17825043667426071,0.000668214394760427
trans_gripper_boundary,pre_close,43,0.0,0.0,0.0,0.17825043667426071,0.000668214394760427
trans_gripper_boundary,closing,54,0.0,0.0,0.06541691994385238,0.17825043667426071,0.000668214394760427
trans_gripper_boundary,hold,139,0.0,0.0,0.0,0.17825043667426071,0.000668214394760427
trans_gripper_boundary,release,38,0.0,0.0,0.07153211805479354,0.17825043667426071,0.000668214394760427
trans_has_previous,free_open,87,1.0,0.0,1.0,0.3132382161684664,1.1671908558412571e-09
trans_has_previous,pre_close,43,1.0,1.0,1.0,0.3132382161684664,1.1671908558412571e-09
trans_has_previous,closing,54,1.0,1.0,1.0,0.3132382161684664,1.1671908558412571e-09
trans_has_previous,hold,139,1.0,1.0,1.0,0.3132382161684664,1.1671908558412571e-09
trans_has_previous,release,38,1.0,1.0,1.0,0.3132382161684664,1.1671908558412571e-09
trans_joint_boundary,free_open,87,0.006924691965496571,0.0,0.015264114144672124,0.08457506340361337,0.10866367671773704
trans_joint_boundary,pre_close,43,0.005101551798480565,0.002713541341876874,0.011466271447545012,0.08457506340361337,0.10866367671773704
trans_joint_boundary,closing,54,0.005973457187024645,0.0030225124073909406,0.010336359895062174,0.08457506340361337,0.10866367671773704
trans_joint_boundary,hold,139,0.010435097740062871,0.005747185788346966,0.018759396923696214,0.08457506340361337,0.10866367671773704
trans_joint_boundary,release,38,0.0074918828075935685,0.0034675482924512303,0.013224451437621371,0.08457506340361337,0.10866367671773704
