episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
16001,gt,joint_dynamics,release_onset,184,184,2.7475682943195747,0.9880952380952381
16001,gt,gripper_only,approach_onset,40,35,0.0,0.32142857142857145
16001,gt,gripper_only,contact_onset,66,71,1.551418042981371,0.6666666666666666
16001,gt,gripper_only,object_motion_onset,78,76,7.545625489995587,0.9761904761904762
16001,gt,gripper_only,placement_contact,154,149,1.9104780088673174e-12,0.38095238095238093
16001,gt,gripper_only,release_onset,184,180,8.808079695910457,1.0
16001,gt,joint_gripper,approach_onset,40,36,2.2621124044513325,0.8511904761904762
16001,gt,joint_gripper,contact_onset,66,61,1.346709996332871,0.47619047619047616
16001,gt,joint_gripper,object_motion_onset,78,76,2.4481016448053534,0.8809523809523809
16001,gt,joint_gripper,placement_contact,154,157,0.6326569931712983,0.17857142857142858
16001,gt,joint_gripper,release_onset,184,180,3.6344902673749093,1.0
16001,wam,joint_position,approach_onset,40,35,0.7419600066030712,0.8988095238095238
16001,wam,joint_position,contact_onset,66,71,0.9964066281306128,1.0
16001,wam,joint_position,object_motion_onset,78,73,0.7966856477545764,0.9404761904761905
16001,wam,joint_position,placement_contact,154,149,0.417287672315251,0.5357142857142857
16001,wam,joint_position,release_onset,184,179,0.20268783930997455,0.3273809523809524
16001,wam,joint_d1,approach_onset,40,45,1.5990613493168533,0.875
16001,wam,joint_d1,contact_onset,66,71,1.2274327261478164,0.7380952380952381
16001,wam,joint_d1,object_motion_onset,78,73,1.103477756673085,0.6488095238095238
16001,wam,joint_d1,placement_contact,154,153,1.1545980298563219,0.6964285714285714
16001,wam,joint_d1,release_onset,184,183,1.2800859811034933,0.7738095238095238
16001,wam,joint_scalar,approach_onset,40,45,1.2464264247219243,0.5178571428571429
16001,wam,joint_scalar,contact_onset,66,64,4.077632591223348,0.9464285714285714
16001,wam,joint_scalar,object_motion_onset,78,74,4.087103074451684,0.9523809523809523
16001,wam,joint_scalar,placement_contact,154,154,3.078728227870842,0.8154761904761905
16001,wam,joint_scalar,release_onset,184,182,3.468294182227609,0.875
16001,wam,joint_dynamics,approach_onset,40,45,1.4130368080963933,0.5892857142857143
16001,wam,joint_dynamics,contact_onset,66,61,2.3945322474502966,0.9107142857142857
16001,wam,joint_dynamics,object_motion_onset,78,74,2.1512625856702345,0.875
16001,wam,joint_dynamics,placement_contact,154,154,1.7063924361231315,0.7261904761904762
16001,wam,joint_dynamics,release_onset,184,182,2.0824174919796063,0.8452380952380952
16001,wam,gripper_only,approach_onset,40,45,0.30144725918266935,0.2976190476190476
16001,wam,gripper_only,contact_onset,66,71,7.24572527440921,0.9821428571428571
16001,wam,gripper_only,object_motion_onset,78,73,5.570347777073183,0.9226190476190477
16001,wam,gripper_only,placement_contact,154,159,2.620683622952816,0.7380952380952381
16001,wam,gripper_only,release_onset,184,184,6.376389666803177,0.9583333333333334
16001,wam,joint_gripper,approach_onset,40,45,1.3303929250274824,0.49404761904761907
16001,wam,joint_gripper,contact_onset,66,71,2.7966045050996002,0.9404761904761905
16001,wam,joint_gripper,object_motion_onset,78,73,2.6512729940239304,0.8988095238095238
16001,wam,joint_gripper,placement_contact,154,154,1.6925862632051314,0.6488095238095238
16001,wam,joint_gripper,release_onset,184,184,2.556869448498877,0.8809523809523809
50458,gt,joint_position,approach_onset,44,49,0.2162150240496931,0.4642857142857143
50458,gt,joint_position,contact_onset,68,63,0.15261381772261162,0.30952380952380953
50458,gt,joint_position,object_motion_onset,110,115,0.5199746147567688,0.7202380952380952
50458,gt,joint_position,transport_onset,124,129,1.703189657171115,1.0
50458,gt,joint_position,placement_contact,176,181,0.5293532797385624,0.7321428571428571
50458,gt,joint_position,release_onset,186,183,0.6566378959001415,0.8035714285714286
50458,gt,joint_position,retreat_onset,190,185,0.4969639679829594,0.6785714285714286
50458,gt,joint_d1,approach_onset,44,41,1.0194711419098088,0.6130952380952381
50458,gt,joint_d1,contact_onset,68,64,0.7064639668152717,0.375
50458,gt,joint_d1,object_motion_onset,110,115,1.3429374267744199,0.7321428571428571
50458,gt,joint_d1,transport_onset,124,126,4.880473168723697,0.9940476190476191
50458,gt,joint_d1,placement_contact,176,181,1.17578145683191,0.6666666666666666
50458,gt,joint_d1,release_onset,186,183,1.307758963658057,0.7142857142857143
50458,gt,joint_d1,retreat_onset,190,185,1.0130777634336863,0.6071428571428571
50458,gt,joint_scalar,approach_onset,44,39,3.7910878183092205,0.9226190476190477
50458,gt,joint_scalar,contact_onset,68,69,0.48301869206755665,0.3392857142857143
