calls,feature,target,spearman,p_value
4,k4_dit_flow_delta_gripper_rms,k4_pred_motion_h8,-0.47184367722992815,5.874780761508462e-06
1,k1_dit_flow_all32_max_abs,k2_pred_motion_h8,0.46993863620658627,6.480948511145787e-06
2,k2_dit_flow_delta_gripper_rms,gt_motion_h8,-0.46935304242178805,6.678772804095708e-06
16,k16_dit_flow_joint7_mean_abs,gt_motion_h8,0.4663966791535892,7.767028519712246e-06
16,k16_dit_flow_action8_mean_abs,k4_prefix_joint_delta_mean,0.4659309506935304,7.952930588405823e-06
4,k4_dit_flow_action8_rms,fine,-0.46231211027451974,9.546323698163342e-06
4,k4_dit_flow_joint7_rms,k4_prefix_joint_delta_mean,0.4596739900779589,1.0891485726453802e-05
4,k4_dit_flow_action8_rms,gt_motion_h8,0.45916776349093863,1.1169118163635643e-05
16,k16_dit_flow_delta_joint7_rms,k4_pred_motion_h8,0.4576288346663967,1.2054384515548232e-05
2,k2_dit_flow_action8_max_abs,k2_pred_motion_h8,0.45507731429662174,1.3668366968438598e-05
2,k2_dit_flow_joint7_rms,k2_prefix_joint_delta_mean,0.45155411562215253,1.623141068164707e-05
4,k4_dit_flow_gripper_mean_abs,fine,-0.4505913651795492,1.7006278872013728e-05
2,k2_dit_flow_all32_rms,k2_prefix_joint_delta_mean,0.4498734433532449,1.76064670729514e-05
16,k16_dit_flow_action8_mean_abs,k8_prefix_joint_delta_mean,0.44904323175053157,1.8325207805028293e-05
16,k16_dit_flow_action8_rms,k2_prefix_joint_delta_mean,0.44859775235395366,1.8722091268106724e-05
2,k2_dit_flow_action8_mean_abs,k8_pred_motion_h8,0.4460463703553711,2.1154345336084894e-05
16,k16_dit_flow_joint7_mean_abs,k8_prefix_joint_delta_mean,0.4453781512605042,2.183848076018931e-05
2,k2_dit_flow_action8_mean_abs,gt_motion_h8,0.44505416624481126,2.2177571413516508e-05
1,k1_dit_flow_action8_max_abs,k2_pred_motion_h8,0.44446408045934305,2.280783851304854e-05
1,k1_dit_flow_all32_rms,fine,-0.44332827965938243,2.4068333559961157e-05
8,k8_dit_flow_joint7_mean_abs,k8_prefix_joint_delta_mean,0.442462286119267,2.5072782660005703e-05
16,k16_dit_flow_delta_all32_rms,k8_pred_motion_h8,0.44234079173838214,2.5216791570177048e-05
16,k16_dit_flow_gripper_max_abs,fine,-0.44179770705117405,2.5870007266730232e-05
8,k8_dit_flow_gripper_rms,fine,-0.44109488782230744,2.6738804731744113e-05
8,k8_dit_flow_action8_rms,gt_motion_h8,0.43794674496304553,3.0975128141341926e-05
8,k8_dit_flow_action8_max_abs,fine,-0.4378398542788955,3.112939763432677e-05
8,k8_dit_flow_all32_max_abs,fine,-0.43782868224434773,3.114556291201306e-05
1,k1_dit_flow_action8_mean_abs,gt_motion_h8,0.4377037562012758,3.1326857516338913e-05
4,k4_dit_flow_all32_rms,k8_prefix_joint_delta_mean,0.43675205021767743,3.27406376532346e-05
1,k1_dit_flow_joint7_mean_abs,k8_pred_motion_h8,0.4360838311228106,3.3768594548995e-05
8,k8_dit_flow_delta_joint7_rms,k2_prefix_joint_delta_mean,0.4347676419965577,3.588192220050979e-05
2,k2_dit_flow_delta_joint7_rms,k8_prefix_joint_delta_mean,0.43450440417130715,3.631910992864224e-05
16,k16_dit_flow_joint7_mean_abs,k4_prefix_joint_delta_mean,0.43233775437885996,4.0110707521875337e-05
8,k8_dit_flow_delta_gripper_rms,k2_pred_motion_h8,-0.42946238736458436,4.571313656112497e-05
4,k4_dit_flow_action8_mean_abs,fine,-0.4276945367998576,4.9510554380687365e-05
8,k8_dit_flow_delta_all32_rms,k8_prefix_joint_delta_mean,0.4255745671762681,5.445084982608744e-05
1,k1_dit_flow_all32_rms,k2_prefix_joint_delta_mean,0.42533157841449837,5.5045481538648385e-05
16,k16_dit_flow_delta_joint7_rms,k4_prefix_joint_delta_mean,0.4248456008909588,5.625289924036968e-05
4,k4_dit_flow_all32_mean_abs,fine,-0.4243444490442452,5.752376853786183e-05
16,k16_dit_flow_all32_mean_abs,fine,-0.4243444490442452,5.752376853786183e-05
2,k2_dit_flow_joint7_mean_abs,gt_motion_h8,0.4193581046876582,7.170618308718867e-05
16,k16_dit_flow_delta_action8_rms,fine,0.4187609694515578,7.360680249087518e-05
16,k16_dit_flow_action8_mean_abs,gt_motion_h8,0.4182039080692518,7.542192690326749e-05
1,k1_dit_flow_all32_max_abs,gt_motion_h8,0.418059000825444,7.590085294253549e-05
8,k8_dit_flow_joint7_mean_abs,k4_prefix_joint_delta_mean,0.4166244811177483,8.079666315436583e-05
16,k16_dit_flow_all32_max_abs,fine,-0.41610658920947113,8.263498058939627e-05
16,k16_dit_flow_action8_max_abs,fine,-0.41610658920947113,8.263498058939627e-05
8,k8_dit_flow_all32_max_abs,k2_pred_motion_h8,0.4160584261745644,8.280789795348069e-05
1,k1_dit_flow_all32_max_abs,k4_pred_motion_h8,0.4157976328250541,8.375005446022358e-05
16,k16_dit_flow_delta_all32_rms,k4_pred_motion_h8,0.4155917788802268,8.450074414902707e-05
1,k1_dit_flow_action8_mean_abs,k8_pred_motion_h8,0.41346562721474134,9.262777818901047e-05
8,k8_dit_flow_delta_all32_rms,fine,0.4109440980217953,0.00010320326927693489
8,k8_dit_flow_action8_rms,k2_prefix_joint_delta_mean,0.40907158043940467,0.00011176870892963081
8,k8_dit_flow_delta_action8_rms,k4_prefix_joint_delta_mean,0.40864635010630757,0.00011380339255978746
8,k8_dit_flow_action8_mean_abs,k4_prefix_joint_delta_mean,0.4076338969322669,0.0001187866667094892
8,k8_dit_flow_action8_mean_abs,fine,-0.40759401026618286,0.00011898706133534917
1,k1_dit_flow_action8_max_abs,gt_motion_h8,0.4074042831722688,0.00011994455967387719
1,k1_dit_flow_joint7_rms,k2_prefix_joint_delta_mean,0.40362458236306575,0.00014056986979062738
8,k8_dit_flow_action8_max_abs,k2_pred_motion_h8,0.4035449873693716,0.0001410375010098703
8,k8_dit_flow_joint7_mean_abs,gt_motion_h8,0.4021261516654855,0.0001496183876666751
4,k4_dit_flow_delta_joint7_rms,gt_motion_h8,0.4015794269515035,0.0001530517415704152
8,k8_dit_flow_action8_rms,fine,-0.40089383475495793,0.00015746001336568099
2,k2_dit_flow_action8_max_abs,gt_motion_h8,0.40060222266719897,0.00015937035116229438
8,k8_dit_flow_all32_max_abs,k4_pred_motion_h8,0.3999361494535875,0.0001638143234943548
8,k8_dit_flow_action8_mean_abs,k8_prefix_joint_delta_mean,0.3995545206034221,0.0001664117934379026
16,k16_dit_flow_delta_all32_rms,fine,-0.396427051080808,0.00018917555672425386
4,k4_dit_flow_all32_mean_abs,k8_prefix_joint_delta_mean,0.39601093449427965,0.00019241195201117697
4,k4_dit_flow_action8_rms,k2_prefix_joint_delta_mean,0.3959096891768756,0.00019320708536165252
16,k16_dit_flow_delta_all32_rms,gt_motion_h8,0.3957071985420675,0.00019480645097072556
